id,question,tags
467,"What is the brightest star visible from Earth ?
","location (other)"
468,"What film marked Robert Redford 's directorial debut ?
","entity (creative)"
469,"What was Mao 's second name ?
","human (individual)"
470,"What film or films has Jude Law appeared in ?
","entity (creative)"
471,"Where do hyenas live ?
","location (other)"
472,"Who is the `` Queen Mother '' ?
","human (description)"
473,"What 's the most commonly-spoken language in Belgium ?
","entity (language)"
474,"Who has more DNA - a man or a woman ?
","human (individual)"
475,"What are Maid-Rites ?
","description (definition)"
476,"What children 's tale contains the line : `` Come , Cinderslut , and hold this skein of wool for me '' ?
","entity (creative)"
477,"What level of government or governmental agency is responsible for dealing with racism ?
","human (group)"
478,"How many referees work a soccer game ?
","numeric (count)"
479,"What cocktail do you concoct with whisky and sweet vermouth ?
","entity (food)"
480,"How do you say `` fresh '' in Spanish ?
","entity (term)"
481,"What do bee hives do in cranberry bogs ?
","description (description)"
482,"What caused the Lynmouth floods ?
","description (reason)"
483,"When is the Tulip Festival in Michigan ?
","numeric (date)"
484,"Who came up with the name , El Nino ?
","human (individual)"
485,"What movie did Madilyn Kahn star in with Gene Wilder ?
","entity (creative)"
486,"What type of bridge is the Golden Gate Bridge ?
","entity (other)"
487,"What dictator has the nickname `` El Maximo '' ?
","human (individual)"
488,"What stereo manufacturer is `` Slightly ahead of its time '' ?
","human (group)"
489,"What U.S. city is The Queen of the Pacific ?
","location (city)"
490,"What TV sitcom character had the maiden name Ethel Potter ?
","human (individual)"
491,"What was the first Lifesaver flavor ?
","entity (food)"
492,"Who kept the most famous diary in the English language ?
","human (individual)"
493,"Where can I find out the top 1 singles ?
","location (other)"
494,"How many degrees cooler is the inside of a cucumber than the air outside ?
","numeric (count)"
495,"What Spanish artist painted Crucifixion ?
","human (individual)"
496,"What is the Jewish bible called ?
","entity (creative)"
497,"Why is the grass green ?
","description (reason)"
498,"What is a firewall ?
","description (definition)"
499,"What spy novelist served as Moscow correspondent for Reuter and The Times of London ?
","human (individual)"
500,"Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?
","human (group)"
501,"How long does it take for Spider-Man 's web to evaporate ?
","numeric (period)"
502,"Who was Randy Steven Craft 's lawyer ?
","human (individual)"
503,"What was known as the Spice Island ?
","location (other)"
504,"Who was the first host of Person to Person ?
","human (individual)"
505,"Name the Ranger who was always after Yogi Bear .
","human (individual)"
506,"What deck of cards includes the Wheel of Fortune , the Lovers , and Death ?
","entity (other)"
507,"What does the Statue of Liberty wear on her feet ?
","entity (other)"
508,"Who is the superstar in rent-a-cars ?
","human (individual)"
509,"McCarren Airport is located in what city ?
","location (city)"
510,"What household facility contains a float ball , ballcock , and overflow tube ?
","entity (other)"
511,"What was the name of Betty Boop 's dog ?
","entity (animal)"
512,"What fraction of a beaver 's life is spent swimming ?
","numeric (percentage)"
513,"What was the Bridge of San Luis Rey made of ?
","entity (substance)"
514,"What do economists do ?
","description (description)"
515,"What country has the largest sheep population ?
","location (country)"
516,"What do I need to do to take my dog with me to live in Dominica , West Indies for a year ?
","description (description)"
517,"What country is the world 's largest importer of cognac ?
","location (country)"
518,"How many years is Johnnie Walker Black Label aged ?
","numeric (count)"
519,"What does SIDS stand for ?
","abbreviation (expression)"
520,"What is Grenada 's main commodity export ?
","entity (other)"
521,"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it , ?
","numeric (money)"
522,"What makes a clitoris sensitive ?
","description (reason)"
523,"What country has the most time zones , with 11 ?
","location (country)"
524,"What `` magic '' does Mandrake employ ?
","entity (other)"
525,"Who is the president of Stanford University ?
","human (individual)"
526,"Whose first presidential order was : `` Let 's get this goddamn thing airborne '' ?
","human (individual)"
527,"What was introduced commercially by Bayer A.G. of Leverkusen , in 1899 ?
","entity (other)"
528,"What city is Logan Airport in ?
","location (city)"
529,"What is a nanometer ?
","description (definition)"
530,"How many innings are there in a regulation softball game ?
","numeric (count)"
531,"When did CNN go on the air ?
","numeric (date)"
532,"What is the largest city on the Great Lakes ?
","location (city)"
533,"What is the telephone number for the University of Kentucky ?
","numeric (code)"
534,"Who invented baseball ?
","human (individual)"
535,"How many wives did Brigham Young have ?
","numeric (count)"
536,"What product on the market is good for hiding facial scars ?
","entity (product)"
537,"How long is the Coney Island boardwalk ?
","numeric (distance)"
538,"What city gained renown for its pea-soup fogs ?
","location (city)"
539,"What does `` Janelle '' mean ?
","description (definition)"
540,"How do I get another city 's newspaper ?
","description (manner)"
541,"Name a movie about the Sioux Indians starring Kevin Costner .
","entity (creative)"
542,"Who was shot in the back during a Poker game in Deadwood , the Dakota territory ?
","human (individual)"
543,"What are the distinct physical characterstics of the Arabian horse ?
","description (description)"
544,"What is a fear of thunder ?
","entity (medicine)"
545,"What animal has killed the most people ?
","entity (animal)"
546,"How many colleges are in Wyoming ?
","numeric (count)"
547,"What Russian seaport has a name meaning `` Lord of the East '' ?
","location (city)"
548,"Where can stocks be traded on-line ?
","location (other)"
549,"When was the Battle of Hastings ?
","numeric (date)"
550,"What kind of file has the extension .dbf ?
","entity (other)"
551,"When did Muhammad live ?
","numeric (date)"
552,"What then-derogatory term was applied to the painters Monet , Sisley , Pissarro , Renoir and Degas ?
","entity (term)"
553,"What is a wop ?
","description (definition)"
554,"Where do rocks come from ?
","description (description)"
555,"How do I stop background noise in a car stereo ?
","description (manner)"
556,"Where do people mountain climb in Nepal ?
","location (mountain)"
557,"What is the best college in the country ?
","human (group)"
558,"What is viscosity ?
","description (definition)"
559,"What was the name of the sitcom that Alyssa Milano starred in with Tony Danza ?
","entity (creative)"
560,"What are the Nordic nations ?
","location (country)"
561,"Where on the Internet can I get information about the Fifth Amendment on the American Bill of Rights ?
","location (other)"
562,"What U.S. state borders Illinois to the north ?
","location (state)"
563,"Name a film in which Jude Law acted .
","entity (creative)"
564,"What is the temperature for baking Peachy Oat Muffins ?
","numeric (temperature)"
565,"What is a fear of bees ?
","entity (medicine)"
566,"What Vladimir Nabokov novel features Professor Humbert in love with a 12-year-old girl ?
","entity (creative)"
567,"What is a green bog ?
","description (definition)"
568,"Where did the myth of Santa Claus originate ?
","location (other)"
569,"What does a chairbound basophobic fear ?
","entity (other)"
570,"What city is served by Logan International Airport ?
","location (city)"
571,"What wrestling star became `` The Incredible Hulk '' ?
","human (individual)"
572,"What attracts tourists to Reims ?
","location (other)"
573,"What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?
","entity (sport)"
574,"What fastener did Whitcomb Judson patent in 1893 ?
","entity (other)"
575,"What 's an auberge in France ?
","description (definition)"
576,"Who was the star of the 1965 Broadway hit Golden Boy ?
","human (individual)"
577,"Where is Procter & Gamble based in the U.S. ?
","location (other)"
578,"What army was founded by William Booth and his wife Catherine ?
","human (group)"
579,"What does ribavirin consist of ?
","entity (substance)"
580,"Name the soft drink that is `` number one in the sun . ''
","entity (food)"
581,"What is the web address of the list of e-mail addresses of members of the House of Representatives ?
","location (other)"
582,"What was her real name ?
","human (individual)"
583,"Why are the ears your center of balance ?
","description (reason)"
584,"Who invented the toothbrush ?
","human (individual)"
585,"What was the name of that popular song the Creeps sang ?
","entity (creative)"
586,"Where is the Abominable Snowman said to wander ?
","location (other)"
587,"What is a fear of being alone ?
","entity (medicine)"
588,"How many dots make up the symbol for `` because '' ?
","numeric (count)"
589,"What do you get by adding Lactobacillus bulgaricus to milk ?
","entity (food)"
590,"When reading classified ads , what does EENTY : other stand for ?
","abbreviation (expression)"
591,"How many hearts does an octopus have ?
","numeric (count)"
592,"What plant has the largest seed ?
","entity (plant)"
593,"What was the only country you were allowed to drive into Israel from in 1979 ?
","location (country)"
594,"What 's approaching when a cyclist shouts : `` Oil '' ?
","entity (other)"
595,"What baseball star turned down a $1 , 000-a-year contract because he felt he had n't earned it ?
","human (individual)"
596,"What kind of sport is often associated with hooligans ?
","entity (sport)"
597,"What video game hero do some of his fans call Chomper ?
","human (individual)"
598,"How many holes are there in a tenpin bowling ball ?
","numeric (count)"
599,"What is the longest word in the English language ?
","entity (word)"
600,"In What city or state do the most gay men live in ?
","location (other)"
601,"What TV comediennes 's characters include former movie star Nora Desmond , secretary Mrs. Wiggins and a housewife named Eunice ?
","human (individual)"
602,"What is `` the bear of beers '' ?
","entity (animal)"
603,"Name the operating system that runs on IBM-compatible machines .
","entity (other)"
604,"What does the name `` Justin '' mean ?
","description (definition)"
605,"What percentage of the body is muscle ?
","numeric (percentage)"
606,"What color of dry wine should be served with veal roasts and chops ?
","entity (color)"
607,"What is a golf ball made of ?
","entity (substance)"
608,"What is the Amish religion ?
","description (definition)"
609,"What does an average daycare provider get paid in New England ?
","numeric (money)"
610,"What was the name of the 187s Irish terrorist group in Pennsylvania mining areas ?
","human (group)"
611,"Who played the Ringo Kid in the 1939 film Stagecoach ?
","human (individual)"
612,"Who died 1 feet from where John F. Kennedy did ?
","human (individual)"
613,"What is the `` coppertop '' battery ?
","description (definition)"
614,"What sign is The Water Carrier the zodiacal symbol for ?
","entity (symbol)"
615,"What animals do you find in the stock market ?
","entity (animal)"
616,"What is color ?
","description (definition)"
617,"When is the site www.questions.com going to open ?
","numeric (date)"
618,"What did Shostakovich write for Rostropovich ?
","entity (creative)"
619,"What first name was Nipsy Russell given at birth ?
","human (individual)"
620,"How can I get some free technical information on Electric Vehicle ?
","description (manner)"
621,"Who is the youngest of the Beatles ?
","human (individual)"
622,"How did shipyard inspector James J. Kilroy designate equipment as being satisfactory ?
","description (manner)"
623,"What is a Jellicle Cat ?
","description (definition)"
624,"Where can I find the best free evidence for debate about Russia ?
","location (other)"
625,"What is Bill Gates of Microsoft E-mail address ?
","location (other)"
626,"What is the second hardest substance ?
","entity (substance)"
627,"Why did several San Diego schools stop serving apples to students ?
","description (reason)"
628,"What Russian city boasts the Hermitage Museum ?
","location (city)"
629,"When is Bastille Day ?
","numeric (date)"
630,"What makes a tornado turn ?
","description (reason)"
631,"How many shots can a stock M16 hold ?
","numeric (count)"
632,"What two colors are you blind to if you suffer from protanopia ?
","entity (color)"
633,"Why do n't you guys have some sort of contest where you ask a question and whoever finds the answers wins a prize ?
","description (reason)"
634,"Who is Coronado ?
","human (description)"
635,"What was the name of the movie that starred Sharon Stone and Arnold Schwarzenegger ?
","entity (creative)"
636,"What is artificial intelligence ?
","description (definition)"
637,"What do flatfish eat ?
","entity (food)"
638,"Who was the first Holy Roman Emperor ?
","human (individual)"
639,"What can I use to remove the stubborn gummed labels from some diskettes ?
","entity (other)"
640,"What day of the week sees the most fatal car accidents ?
","numeric (date)"
641,"What is the origin of the word , magic ?
","description (description)"
642,"What sport do you shag flies in ?
","entity (sport)"
643,"What is white chocolate ?
","description (definition)"
644,"Where is Trinidad ?
","location (other)"
645,"Name the organization that is presided by a Security Council .
","human (group)"
646,"Who graced the airwaves with such pearls as `` Do ya lo-o-ove me ? Get naked , baby ! '' ?
","human (individual)"
647,"What kind of wine is Spumante ?
","entity (food)"
648,"Who portrayed portly criminologist Carl Hyatt on Checkmate ?
","human (individual)"
649,"How do you say I love you in Spanish ?
","entity (term)"
650,"What does the name Gina mean ?
","description (definition)"
651,"What is the most advanced handheld calculator in the world ?
","entity (product)"
652,"How fast is light ?
","numeric (speed)"
653,"What is the belt of low pressure around the equator called ?
","entity (term)"
654,"What are shooting stars ?
","description (definition)"
655,"Whom did the Chicago Bulls beat in the 1993 championship ?
","human (group)"
656,"When was the first American encyclopedia published ?
","numeric (date)"
657,"What 's the tallest building in New York City ?
","location (other)"
658,"How is Easter Sunday 's date determined ?
","description (manner)"
659,"What is the Motto for the State of Maryland ?
","description (description)"
660,"Who is Desmond Tutu ?
","human (description)"
661,"Where can I find information on the Narragansett Indians and other tribes in Rhode Island ?
","location (other)"
662,"Name a tiger that is extinct .
","entity (animal)"
663,"How many quarters equal a pound ?
","numeric (count)"
664,"What kind of books does Fodor 's publish ?
","entity (creative)"
665,"What are the first names of Rowan and Martin , the stars of TV 's Laugh-In ?
","human (individual)"
666,"What chapter of the Bible has the most verses ?
","numeric (order)"
667,"Who is the worst US President ever ?
","human (individual)"
668,"What Asian leader was known as The Little Brown Saint ?
","human (individual)"
669,"What is the abbreviated expression for the National Bureau of Investigation ?
","abbreviation (abbreviation)"
670,"How fast does the fastest car go ?
","numeric (speed)"
671,"What is the highest mountain in the world ?
","location (mountain)"
672,"What arch can you see from the Place de la Concorde ?
","location (other)"
673,"Who sings the song `` Drink to me with thine eyes '' by Ben Johnson ?
","human (individual)"
674,"How long should a person wash their hands before they are clean ?
","numeric (period)"
675,"Which way do you turn your Bic to increase the flame - clockwise or counterclockwise ?
","location (other)"
676,"Which is the wealthiest country in the world ?
","location (country)"
677,"How can I find a phone number of someone if I only know their email address ?
","description (manner)"
678,"How can you contact play producers and promoters on-line ?
","description (manner)"
679,"Who is the monarch of the United Kingdom ?
","human (individual)"
680,"What is a fear of passing high objects ?
","entity (medicine)"
681,"What do players try to do when the music stops in a game of musical chairs ?
","description (description)"
682,"What are the top ten most common girl names in the US ?
","human (individual)"
683,"Why is black the color of mourning in the West ?
","description (reason)"
684,"What is the rarest coin ?
","entity (other)"
685,"What Judith Rossner novel was made into a film starring Diane Keaton ?
","entity (creative)"
686,"Which country is Australia 's largest export market ?
","location (country)"
687,"Where is the Kentucky Horse Park located ?
","location (other)"
688,"What is a fear of parasites ?
","entity (medicine)"
689,"In what Olympic Games did Nadia Comaneci become popular ?
","entity (sport)"
690,"Who does data collection in tourism ?
","human (individual)"
691,"What was the name of the daughter of the Virginia chief Powhatan that married John Rolfe ?
","human (individual)"
692,"What is the leading pecan and peanut growing state ?
","location (state)"
693,"What does a nihilist believe in ?
","description (description)"
694,"What did Richard Feynman say upon hearing he would receive the Nobel Prize in Physics ?
","description (description)"
695,"In what sport are these following numbers relevant : 118 , 126 , 134 , 142 , 15 , 158 , 167 , 177 , and 19 ?
","entity (sport)"
696,"Who were the four famous founders of United Artists ?
","human (individual)"
697,"What 2 statues did France give to other countries ?
","entity (creative)"
698,"What are amphibians ?
","description (definition)"
699,"How many sperm cells are in an average ejaculation ?
","numeric (count)"
700,"Name the disposable razor that `` costs about 19 cents . ''
","entity (product)"
701,"How far do you have to run if you hit a home run ?
","numeric (distance)"
702,"Who was the only U.S. President to wear a Nazi uniform ?
","human (individual)"
703,"Woodrow Wilson served as president of what university ?
","human (group)"
704,"Where are the tropical rain forest distributions ?
","location (other)"
705,"What 's the nickname of oddsmaker Jimmy Snyder ?
","human (individual)"
706,"What is the fear of being loved ?
","entity (medicine)"
707,"What was the number of people that Randy Steven Craft was convicted of killing ?
","numeric (other)"
708,"What was Queen Victoria 's title regarding India ?
","human (title)"
709,"How is a hydrogen bomb different from a nuclear bomb ?
","description (manner)"
710,"How far can a man travel in outer space ?
","numeric (distance)"
711,"Where was Lincoln assassinated ?
","location (other)"
712,"What type of food makes you fat ?
","entity (food)"
713,"What is the name of the chronic neurological autoimmune disease which attacks the protein sheath that surrounds nerve cells causing a gradual loss of movement in the body ?
","entity (medicine)"
714,"What was the U.S. highway death toll in 1969 ?
","numeric (count)"
715,"What kind of animals are Dorsets , Lincolns , Oxfords and Southdowns ?
","entity (animal)"
716,"What are the shortest and the longest songs ever produced ?
","entity (creative)"
717,"What letter is to the right of K on a typewriter keyboard ?
","entity (letter)"
718,"What is the origin and the meaning of the name , `` Hajo ? ''
","description (description)"
719,"What is the plural of gulf ?
","entity (word)"
720,"Whose autobiography is titled Yes I Can ?
","human (individual)"
721,"What year did the United States pass the Copyright law ?
","numeric (date)"
722,"What percentage of Americans own their homes ?
","numeric (percentage)"
723,"What 's the first day of the week ?
","numeric (date)"
724,"What city was President William McKinley shot in ?
","location (city)"
725,"What city has the world 's longest subway system ?
","location (city)"
726,"Who claimed he killed 4 , 280 buffalo as food for the crew building the Kansas Pacific Railway ?
","human (individual)"
727,"What is Bombay duck ?
","description (definition)"
728,"How many degrees cooler is the inside of a cucumber than the air outside ?
","numeric (count)"
729,"What double talking `` professor '' holds a doctorate in Nothing ?
","human (individual)"
730,"What are the five most expensive cities in the world ?
","location (city)"
731,"What 19th-century writer had a country estate on the Hudson dubbed Sunnyside ?
","human (individual)"
732,"How many layers of yellow paint is a Faber Mongol pencil lucky enough to be sprayed with ?
","numeric (count)"
733,"What is a virtual IP address ?
","description (definition)"
734,"What was the name of the cook on Rawhide ?
","human (individual)"
735,"What county is Chicago in ?
","location (other)"
736,"What is the wingspan of a condor ?
","numeric (distance)"
737,"What facial feature typically contains about 55 hairs ?
","description (description)"
738,"Who was named Admiral of the Ocean Seas and Viceroy and Governor General of all the islands he might discover , and also granted 10-?? of all profits of his voyage .
","human (individual)"
739,"How can I transport files from one computer to another ?
","description (manner)"
740,"What 's the literary term for a play on words ?
","entity (term)"
741,"What color were their horses ?
","entity (color)"
742,"What does an average daycare provider get paid in New England ?
","numeric (money)"
743,"What author landed a 468-pound marlin without harness in the early 193 's ?
","human (individual)"
744,"How many Americans fought for the British in the American Revolution ?
","numeric (count)"
745,"What kind of education do I need to become a flight attendant ?
","entity (other)"
746,"What are the two languages of Malta ?
","entity (language)"
747,"How many oceans are there and name them ?
","numeric (count)"
748,"What happened during the Blackhawk Indian war of 1832 ?
","description (description)"
749,"How many pairs of legs does a lobster have ?
","numeric (count)"
750,"What does the Latin ante mortem mean ?
","description (definition)"
751,"What does the name Shawn mean ?
","description (definition)"
752,"Where is the Danube ?
","location (other)"
753,"What lawyer won the largest divorce settlement , $85 million , in U.S. history for Sheika Dena Al-Farri ?
","human (individual)"
754,"What do you call a group of geese ?
","entity (animal)"
755,"Who delivered his last newscast on March 6 , 1981 ?
","human (individual)"
756,"How many times has `` Louie , Louie '' been recorded ?
","numeric (count)"
757,"How is Answers.com different from KnowPost.com ?
","description (manner)"
758,"What is the longest place name in the U.S. ?
","location (other)"
759,"What percent liked Thatcher after she had been in power for a decade ?
","numeric (percentage)"
760,"Where does Buzz Aldrin want to build a permanent , manned space station ?
","location (other)"
761,"What was Mel Gibson 's first movie ?
","entity (creative)"
762,"Why was the L.A. office of Shea and Gould closed ?
","description (reason)"
763,"How do I start a bank ?
","description (manner)"
764,"How do Ouija Boards work ?
","description (manner)"
765,"What horse did Zorro ride ?
","entity (animal)"
766,"How do you get a broken cork out of a bottle ?
","description (manner)"
767,"Where can I find correct tabs for Third Eye Blind songs ?
","location (other)"
768,"How do you determine heating requirements for your home ?
","description (manner)"
769,"What former major-league left-handed baseball pitcher was known as `` Space Man '' ?
","human (individual)"
770,"Which hair care product told us `` hate that gray , wash it away '' ?
","entity (product)"
771,"Why did the chicken cross the road ?
","description (reason)"
772,"What was Michelangelo 's last name ?
","human (individual)"
773,"Who is Barbara Jordan ?
","human (description)"
774,"Who was the Democratic nominee in the American presidential election ?
","human (individual)"
775,"What was Connecticut 's first constitution called ?
","entity (creative)"
776,"What historical event happened in Dogtown in 1899 ?
","entity (event)"
777,"What is being done about the millennium bug ?
","description (definition)"
778,"What was the claim to fame of King Camp Gillette ?
","description (reason)"
779,"What is the most common kind of skin cancer in the U.S. ?
","entity (medicine)"
780,"What is Olestra ?
","description (definition)"
781,"What Asian country has a bill of rights for cows ?
","location (country)"
782,"How many fingers are used to draw a bow ?
","numeric (count)"
783,"What are two plants that clothes are made from ?
","entity (plant)"
784,"When was Hurricane Hugo ?
","numeric (date)"
785,"What is the most heavily caffeinated soft drink ?
","entity (food)"
786,"What President-to-be was the first member of Congress to enlist following the attack on Pearl Harbor ?
","human (individual)"
787,"What was the price of Varian Associates ' vacuum products division ?
","numeric (money)"
788,"When was `` the Great Depression '' ?
","numeric (date)"
789,"What language is mostly spoken in Brazil ?
","entity (language)"
790,"What college produced the most winning Super Bowl quarterbacks ?
","human (group)"
791,"How do you solve `` Rubik 's Cube '' ?
","description (manner)"
792,"What is prepared mustard ?
","description (definition)"
793,"What classical Spanish writer warned : `` All that glitters is not gold '' ?
","human (individual)"
794,"What does `` antidisestablishmentarianism '' mean ?
","description (definition)"
795,"What actor married John F. Kennedy 's sister ?
","human (individual)"
796,"What does a topophobic actor suffer from ?
","entity (medicine)"
797,"Who fired Maria Ybarra from her position in San Diego council ?
","human (individual)"
798,"The italian artist , Maurizio Pellegrin , is how old ?
","numeric (period)"
799,"What type of hunting are retrievers used for ?
","entity (other)"
800,"What is Colin Powell best known for ?
","description (reason)"
801,"Who was the first black golfer to tee off in the Masters ?
","human (individual)"
802,"What city is the setting for Puccini 's opera La Boheme ?
","location (city)"
803,"What U.S. President showed a fondness for munching on bee pollen bars ?
","human (individual)"
804,"What is measured in curies ?
","description (definition)"
805,"Whose cover is that of an employee of Universal Import and Export ?
","human (individual)"
806,"What former president 's daughter has written a book titled Murder in the White House ?
","human (individual)"
807,"What fictional character is known as the `` melancholy Dane '' ?
","human (individual)"
808,"Italy is the largest producer of what ?
","entity (product)"
809,"What longtime game show host dropped dead while jogging in Central Park in 1984 ?
","human (individual)"
810,"What is the meaning of W.B. Yeat 's poem , `` The Three Hermits ? ''
","description (definition)"
811,"Who were the `` filthiest people alive ? ''
","human (individual)"
812,"What infectious disease is the world 's deadliest ?
","entity (medicine)"
813,"What is Spumante ?
","description (definition)"
814,"In what year did Ireland elect its first woman president ?
","numeric (date)"
815,"What is an isthmus ?
","description (definition)"
816,"What was the name of the orca that died of a fungal infection ?
","entity (animal)"
817,"Where is Mozambique located ?
","location (other)"
818,"What is Mississippi 's state animal ?
","entity (animal)"
819,"What 's the origin of the word ` news ' ?
","description (description)"
820,"What did Dan Aykroyd and John Belushi quit Saturday Night Live to become ?
","entity (other)"
821,"How many months does a normal human pregnancy last ?
","numeric (count)"
822,"How do fuel injectors work ?
","description (manner)"
823,"How can your school march in the Macy 's Thanksgiving Parade ?
","description (manner)"
824,"What is the real name of disc jockey `` Wolfman Jack '' ?
","human (individual)"
825,"What Italian liner was hijacked in 1985 ?
","entity (vehicle)"
826,"What city houses the U.S. headquarters of Procter and Gamble ?
","location (city)"
827,"What soap was touted as being `` for people who like people '' ?
","entity (product)"
828,"How much was the minimum wage in 1991 ?
","numeric (money)"
829,"What does NAFTA stand for ?
","abbreviation (expression)"
830,"Who invented silly putty ?
","human (individual)"
831,"What new middle school was built in Philadelphia , Pennsylvania last year ?
","human (group)"
832,"Who patented the first phonograph ?
","human (individual)"
833,"What are some tips for building a fire in a fireplace ?
","entity (techmeth)"
834,"What do manatees eat ?
","entity (food)"
835,"How do you say 2 in Latin ?
","entity (term)"
836,"What were popular songs and types of songs in the 1920s ?
","entity (creative)"
837,"How many Vietnamese were there in the Soviet Union ?
","numeric (count)"
838,"What is November 's birthstone ?
","entity (other)"
839,"What is a Certified Nurse Midwife ?
","description (definition)"
840,"On average , how many miles are there to the moon ?
","numeric (count)"
841,"Who created private detective Philip Marlowe ?
","human (individual)"
842,"What Boris Pasternak book sold 5 , 0 copies to become the fiction best-seller of 1958 ?
","entity (creative)"
843,"What is the origin of the expression `` tout de suite '' ?
","description (description)"
844,"What is the longest English word ?
","entity (word)"
845,"What is the purpose of a car bra ?
","description (reason)"
846,"What is D.B. Cooper known for ?
","description (reason)"
847,"Who is Colin Powell ?
","human (description)"
848,"What species is a colt ?
","entity (animal)"
849,"What is the full name of the PLO ?
","abbreviation (expression)"
850,"What is the smallest country in Africa ?
","location (country)"
851,"Who coined the term NN cyberspace `` in his novel NN Neuromancer '' ?
","human (individual)"
852,"What age followed the Bronze Age ?
","entity (event)"
853,"What is her profession ?
","human (title)"
854,"What is the full name of the man who invented the multicolored game cube that has 42.3 quintillion potential combinations ?
","human (individual)"
855,"What does the word LASER mean ?
","abbreviation (expression)"
856,"What does the name `` Anthony '' mean ?
","description (definition)"
857,"Who was Lauren Bacall 's first husband ?
","human (individual)"
858,"What is a rhomboideus minor ?
","description (definition)"
859,"How many hands does Bjorn Borg use when hitting his forehand ?
","numeric (count)"
860,"How many people died on D-Day ?
","numeric (count)"
861,"What U.S. Congressman said : `` Keep the faith , baby '' .
","human (individual)"
862,"Who created the character of Scrooge ?
","human (individual)"
863,"What is the student population at the University of Massachusetts in Amherst ?
","numeric (other)"
864,"Where is Windsor Castle ?
","location (other)"
865,"When did the Dow first reach ?
","numeric (date)"
866,"Why were people recruited for the Vietnam War ?
","description (reason)"
867,"What party was Winston Churchill a member of ?
","human (group)"
868,"What American League baseball team 's worst finish between 1926 and 1964 was fourth ?
","human (group)"
869,"Where can I find the names of all the 15 Pokemon ?
","location (other)"
870,"What state does Martha Stewart live in ?
","location (state)"
871,"Which killer whale died at Sea World of a fungal infection ?
","entity (animal)"
872,"What are the Benelux countries ?
","location (country)"
873,"Where 's the Petrified Forest ?
","location (other)"
874,"What is a language spoken by the Sioux ?
","entity (language)"
875,"Where is Tornado Alley ?
","location (other)"
876,"Who was the author of `` John Brown 's Body '' ?
","human (individual)"
877,"What American poet wrote : `` Good fences make good neighbors '' ?
","human (individual)"
878,"What state in the U.S. has the most blacks ?
","location (state)"
879,"Why are electric cars less efficient in the northeast than in California ?
","description (reason)"
880,"What was the occupation of Mandy Rice-Davies ?
","human (title)"
881,"What is the city in which Maurizio Pellegrin lives called ?
","location (city)"
882,"Who painted the Sistine Chapel ?
","human (individual)"
883,"Name the various costumed personas of Dr. Henry Pym .
","human (individual)"
884,"What breed of dog was the `` Little Rascals '' dog ?
","entity (animal)"
885,"What are the living conditions in Cuba ?
","description (description)"
886,"What color are school buses ?
","entity (color)"
887,"What is the oldest website on the Internet ?
","location (other)"
888,"What events happened January 26 , 1978 ?
","entity (event)"
889,"What explorers followed Columbus to the Americas ?
","human (individual)"
890,"Who is actress Goldie Hawn 's current actor boyfriend ?
","human (individual)"
891,"Who banned Peter Rose from baseball for betting on games ?
","human (individual)"
892,"What are the seven virtues ?
","description (definition)"
893,"What other name were the `` Little Rascals '' known as ?
","entity (term)"
894,"When was the San Francisco fire ?
","numeric (date)"
895,"What is a fear of food ?
","entity (medicine)"
896,"How many casinos are in Atlantic City , NJ ?
","numeric (count)"
897,"What year did the Vietnam War end ?
","numeric (date)"
898,"What are the names of Richard Nixon 's two daughters ?
","human (individual)"
899,"What 's the word for broken glass or sharp rocks embedded in cement on top of a wall ?
","entity (word)"
900,"What is the chromosome number of an elephant ?
","numeric (count)"
901,"What organization was founded by the Rev. Jerry Falwell ?
","human (group)"
902,"What 's the longest river in the world ?
","location (other)"
903,"Which soft drink does Madonna advertise for ?
","entity (food)"
904,"What company is being bought by Yahoo and how much is the deal worth ?
","human (group)"
905,"When was Berlin 's Brandenburg gate erected ?
","numeric (date)"
906,"How many double-word-score spaces are there on a Scrabble Crossword Game board ?
","numeric (count)"
907,"What year did Germany sign its nonaggression pact with the Soviet Union ?
","numeric (date)"
908,"What mountain range is traversed by the highest railroad in the world ?
","location (mountain)"
909,"Why were the American soldiers in WWI called `` Doughboys ''
","description (reason)"
910,"Who was nicknamed The Little Corporal ?
","human (individual)"
911,"How many CDs has Garth Brooks sold ?
","numeric (count)"
912,"Name the vessel used by the Atari Force in the DC comics .
","entity (vehicle)"
913,"Where are the leading medical groups specializing in lung diseases ?
","location (other)"
914,"How can I find online spelling , and punctuation drills for my 6th grader ?
","description (manner)"
915,"What 's the sacred river of India ?
","location (other)"
916,"What is Stefan Edberg 's native country ?
","location (country)"
917,"What is the only gland in humans that can regenerate itself ?
","entity (body)"
918,"How many Gutenberg Bibles are there ?
","numeric (count)"
919,"Name the largest country in South America .
","location (country)"
920,"What astronomical phenomenon takes place in Jan. 1999 ?
","entity (event)"
921,"What information can you get me on Fairground Park in St. Louis
","description (description)"
922,"What was American folk hero John Chapman 's nickname ?
","human (individual)"
923,"What is the difference between a median and a mean ?
","description (description)"
924,"What was the top box office movie in April 1998 ?
","entity (creative)"
925,"What makes thunder ?
","description (reason)"
926,"What author did photographer Yousuf Karsh call `` the shiest man I ever met '' ?
","human (individual)"
927,"Which is the largest clock , diameter wise , in Europe ?
","entity (other)"
